project_id,project_title,n_common_disciplines_10pct,primary_discipline,primary_tie,project_interdisciplinary_final
0135C78D-4E50-49C9-AD72-2A99F8D94814,Development of a Continuous Clean Alkene Epoxidation Process Technology for the Production of Commercially Important Epoxide Building Blocks,2,Materials & Chemistry,False,True
015204E6-2BAF-4594-B4E5-73F52C52629B,Recycling nutrient resources in waste for food security and environmental sustainability,3,Environmental & Earth Sciences,False,True
01BD79F0-409F-4A26-A744-85189BD46C84,The development of a novel biorefining strategy for the valorisation of textile waste,3,Engineering & Manufacturing,False,True
033CDCDA-44BF-4818-AFDD-872739C1C0F8,Resilient and sustainable steel frame with innovative post-tensioned connections and rate-dependent passive dampers for multi-hazard resistant design,1,Engineering & Manufacturing,False,False
03CDBC64-A89F-48D1-BACD-E6C5885539A1,On-Demand Design & Manufacturing of Customised 3D Fashion & Textile Products,1,Engineering & Manufacturing,False,False
03E3BC39-6A87-4CC0-A4C7-E578A4A244FB,The Economics of Marine Plastic Pollution: What are the Benefits of International Cooperation?,2,"Environmental & Earth Sciences; Social Sciences, Business & Economics",True,True
04B2659B-A557-46BD-B1A9-FEE7F61FC2F1,Complex Value Optimisation for Resource Recovery from Waste (C-VORR),1,Environmental & Earth Sciences,False,False
05A2D1E8-338E-47B3-8C43-1CBEA1D6363D,Nature-inspired bio-Syngas Technologies for Olefins Synthesis,2,Engineering & Manufacturing,False,True
05E99F56-1CE2-4A95-B5EC-92E4862B0DFB,Visit to Research & Educational Institutions in India.,1,Engineering & Manufacturing,False,False
06374C2C-892D-4253-A416-D0FB6BCC8024,Portable solar powered electricity supplies using recovered batteries,1,Energy,False,False
0668387B-897C-4B2D-94D4-0BA62C5D556A,The role of Phosphorus in the Resilience and Sustainability of the UK food system,3,Environmental & Earth Sciences,False,True
06DEEBD9-88F0-4F27-B7D3-048A339CF216,Beyond Biorecovery: environmental win-win by biorefining of metallic wastes into new functional materials (B3),4,Environmental & Earth Sciences,False,True
08127934-284E-4BE3-8D8B-D8D42E52C2D0,Bio-GENTLE Green membrane bioseparation for circular economy,3,"Life, Agricultural & Health Sciences",False,True
08707C3D-ABB4-43BF-8B42-7EB3B65A4670,International Upcycling Research Network,3,Engineering & Manufacturing,False,True
09065524-A5B6-470F-95AB-5CECE44AA19F,"Innovative Material, Processes and Devices for Low Power Flexible Electronics: Creating a Sustainable Internet of Everything",3,Computer & Quantitative Sciences,False,True
09619850-96C7-4539-B801-7197E6AA907D,Carbon negative chemicals synthesis directly from the air,2,Energy,False,True
