project_id,project_title,common_discipline,discipline_weight_normalized
0135C78D-4E50-49C9-AD72-2A99F8D94814,Development of a Continuous Clean Alkene Epoxidation Process Technology for the Production of Commercially Important Epoxide Building Blocks,Engineering & Manufacturing,20.0
0135C78D-4E50-49C9-AD72-2A99F8D94814,Development of a Continuous Clean Alkene Epoxidation Process Technology for the Production of Commercially Important Epoxide Building Blocks,Materials & Chemistry,80.0
015204E6-2BAF-4594-B4E5-73F52C52629B,Recycling nutrient resources in waste for food security and environmental sustainability,Engineering & Manufacturing,30.0
015204E6-2BAF-4594-B4E5-73F52C52629B,Recycling nutrient resources in waste for food security and environmental sustainability,Environmental & Earth Sciences,50.0
015204E6-2BAF-4594-B4E5-73F52C52629B,Recycling nutrient resources in waste for food security and environmental sustainability,"Life, Agricultural & Health Sciences",20.0
01BD79F0-409F-4A26-A744-85189BD46C84,The development of a novel biorefining strategy for the valorisation of textile waste,Engineering & Manufacturing,45.45454545454545
01BD79F0-409F-4A26-A744-85189BD46C84,The development of a novel biorefining strategy for the valorisation of textile waste,Environmental & Earth Sciences,36.36363636363637
01BD79F0-409F-4A26-A744-85189BD46C84,The development of a novel biorefining strategy for the valorisation of textile waste,Materials & Chemistry,18.181818181818183
033CDCDA-44BF-4818-AFDD-872739C1C0F8,Resilient and sustainable steel frame with innovative post-tensioned connections and rate-dependent passive dampers for multi-hazard resistant design,Engineering & Manufacturing,100.0
03CDBC64-A89F-48D1-BACD-E6C5885539A1,On-Demand Design & Manufacturing of Customised 3D Fashion & Textile Products,Engineering & Manufacturing,100.0
03E3BC39-6A87-4CC0-A4C7-E578A4A244FB,The Economics of Marine Plastic Pollution: What are the Benefits of International Cooperation?,Environmental & Earth Sciences,50.0
03E3BC39-6A87-4CC0-A4C7-E578A4A244FB,The Economics of Marine Plastic Pollution: What are the Benefits of International Cooperation?,"Social Sciences, Business & Economics",50.0
04B2659B-A557-46BD-B1A9-FEE7F61FC2F1,Complex Value Optimisation for Resource Recovery from Waste (C-VORR),Environmental & Earth Sciences,100.0
05A2D1E8-338E-47B3-8C43-1CBEA1D6363D,Nature-inspired bio-Syngas Technologies for Olefins Synthesis,Engineering & Manufacturing,70.0
05A2D1E8-338E-47B3-8C43-1CBEA1D6363D,Nature-inspired bio-Syngas Technologies for Olefins Synthesis,Materials & Chemistry,30.0
05E99F56-1CE2-4A95-B5EC-92E4862B0DFB,Visit to Research & Educational Institutions in India.,Engineering & Manufacturing,100.0
06374C2C-892D-4253-A416-D0FB6BCC8024,Portable solar powered electricity supplies using recovered batteries,Energy,100.0
0668387B-897C-4B2D-94D4-0BA62C5D556A,The role of Phosphorus in the Resilience and Sustainability of the UK food system,Environmental & Earth Sciences,60.0
0668387B-897C-4B2D-94D4-0BA62C5D556A,The role of Phosphorus in the Resilience and Sustainability of the UK food system,"Life, Agricultural & Health Sciences",20.0
0668387B-897C-4B2D-94D4-0BA62C5D556A,The role of Phosphorus in the Resilience and Sustainability of the UK food system,"Social Sciences, Business & Economics",20.0
06DEEBD9-88F0-4F27-B7D3-048A339CF216,Beyond Biorecovery: environmental win-win by biorefining of metallic wastes into new functional materials (B3),Engineering & Manufacturing,10.0
06DEEBD9-88F0-4F27-B7D3-048A339CF216,Beyond Biorecovery: environmental win-win by biorefining of metallic wastes into new functional materials (B3),Environmental & Earth Sciences,65.0
06DEEBD9-88F0-4F27-B7D3-048A339CF216,Beyond Biorecovery: environmental win-win by biorefining of metallic wastes into new functional materials (B3),"Life, Agricultural & Health Sciences",15.0
06DEEBD9-88F0-4F27-B7D3-048A339CF216,Beyond Biorecovery: environmental win-win by biorefining of metallic wastes into new functional materials (B3),Materials & Chemistry,10.0
08127934-284E-4BE3-8D8B-D8D42E52C2D0,Bio-GENTLE Green membrane bioseparation for circular economy,Engineering & Manufacturing,31.57894736842105
08127934-284E-4BE3-8D8B-D8D42E52C2D0,Bio-GENTLE Green membrane bioseparation for circular economy,"Life, Agricultural & Health Sciences",52.63157894736842
08127934-284E-4BE3-8D8B-D8D42E52C2D0,Bio-GENTLE Green membrane bioseparation for circular economy,Materials & Chemistry,15.789473684210526
08707C3D-ABB4-43BF-8B42-7EB3B65A4670,International Upcycling Research Network,Engineering & Manufacturing,50.0
08707C3D-ABB4-43BF-8B42-7EB3B65A4670,International Upcycling Research Network,Environmental & Earth Sciences,16.666666666666664
08707C3D-ABB4-43BF-8B42-7EB3B65A4670,International Upcycling Research Network,"Social Sciences, Business & Economics",33.33333333333333
09065524-A5B6-470F-95AB-5CECE44AA19F,"Innovative Material, Processes and Devices for Low Power Flexible Electronics: Creating a Sustainable Internet of Everything",Computer & Quantitative Sciences,45.0
09065524-A5B6-470F-95AB-5CECE44AA19F,"Innovative Material, Processes and Devices for Low Power Flexible Electronics: Creating a Sustainable Internet of Everything",Engineering & Manufacturing,25.0
09065524-A5B6-470F-95AB-5CECE44AA19F,"Innovative Material, Processes and Devices for Low Power Flexible Electronics: Creating a Sustainable Internet of Everything",Materials & Chemistry,30.0
09619850-96C7-4539-B801-7197E6AA907D,Carbon negative chemicals synthesis directly from the air,Energy,60.0
09619850-96C7-4539-B801-7197E6AA907D,Carbon negative chemicals synthesis directly from the air,Materials & Chemistry,40.0
0BE3BDB1-8A69-4C8D-9F63-FBE6A6CF8485,"Breaking FROntiers for advanced engineering of bespoke, functional Biopolymer COmposite materials (FROBCO)",Engineering & Manufacturing,50.0
0BE3BDB1-8A69-4C8D-9F63-FBE6A6CF8485,"Breaking FROntiers for advanced engineering of bespoke, functional Biopolymer COmposite materials (FROBCO)",Materials & Chemistry,50.0
0CF1C0FF-1675-406C-A87C-814CAC5A765E,Developing iron-rich cement clinker & understanding ferrite for the valorisation & upcycling of steel slags (FeRICH),Engineering & Manufacturing,85.0
0CF1C0FF-1675-406C-A87C-814CAC5A765E,Developing iron-rich cement clinker & understanding ferrite for the valorisation & upcycling of steel slags (FeRICH),Materials & Chemistry,15.0
0CFAB4F4-A537-4D15-926C-0D699C84477A,iNEED (including Non-destructive Evaluation in Engineered Design),Computer & Quantitative Sciences,20.0
0CFAB4F4-A537-4D15-926C-0D699C84477A,iNEED (including Non-destructive Evaluation in Engineered Design),Engineering & Manufacturing,80.0
0DF40B78-263A-407E-A86A-2531652A3A7A,Biomanufacturing with carbon capture and utilisation: A Zero Carbon Loss System,Engineering & Manufacturing,100.0
0E163F22-9639-445C-9D7D-F3635AC240D4,Circular economy transition and the Indian E-waste Market,"Social Sciences, Business & Economics",100.0
0FB89515-4D3A-413D-A986-60145448E86C,Smart Materials - Designing for Functionality,Computer & Quantitative Sciences,20.0
