lead_organisation_clean,n_projects,total_funding,mean_funding,median_funding,funding_share_%,total_funding_million,cumulative_share_%,rank
University of Sheffield,26,60530213.0,2328085.1153846155,1199283.5,5.885593354983321,60.530213,5.885593354983321,1
Unknown,39,56082434.0,1438011.1282051282,640916.0,5.453118112795847,56.082434,11.338711467779168,2
University of Manchester,21,38176501.0,1817928.619047619,683653.0,3.712053030477757,38.176501,15.050764498256925,3
University of Nottingham,16,38011195.0,2375699.6875,790839.5,3.695979670631181,38.011195,18.746744168888107,4
Brunel University London,15,36950623.0,2463374.8666666667,1560645.0,3.592856036890104,36.950623,22.33960020577821,5
University of Birmingham,30,35641731.0,1188057.7,495304.0,3.4655872619133694,35.641731,25.80518746769158,6
UNIVERSITY OF EXETER,22,33376308.0,1517104.9090909092,690487.5,3.245311173424694,33.376308,29.050498641116278,7
University of Warwick,17,32025794.0,1883870.2352941176,1027935.0,3.1139953258460316,32.025794,32.16449396696231,8
University of Leeds,24,25010608.0,1042108.6666666666,375611.5,2.4318808897780135,25.010608,34.596374856740326,9
CRANFIELD UNIVERSITY,17,24898638.0,1464625.7647058824,431400.0,2.4209936013431044,24.898638,37.01736845808343,10
University of Cambridge,18,20738829.0,1152157.1666666667,516173.5,2.01651882759004,20.738829,39.03388728567347,11
UNIVERSITY OF EDINBURGH,12,20217623.0,1684801.9166666667,612876.5,1.965839895233112,20.217623,40.99972718090658,12
University of Strathclyde,15,18751114.0,1250074.2666666666,468012.0,1.8232453924610297,18.751114,42.822972573367615,13
University of Bath,11,17131384.0,1557398.5454545454,565895.0,1.6657526024576783,17.131384,44.488725175825294,14
SWANSEA UNIVERSITY,4,16035161.0,4008790.25,1762777.5,1.5591624801929527,16.035161,46.04788765601825,15
UNIVERSITY OF MANCHESTER,6,16007336.0,2667889.3333333335,1373624.0,1.5564569447754182,16.007336,47.60434460079367,16
Imperial College London,19,15433315.0,812279.7368421053,431199.0,1.5006425999089812,15.433315,49.104987200702645,17
University of Huddersfield,3,13824317.0,4608105.666666667,1463141.0,1.3441933249496902,13.824317,50.44918052565234,18
University of Kent,3,13705171.0,4568390.333333333,1289915.0,1.3326082854938925,13.705171,51.78178881114623,19
CARDIFF UNIVERSITY,18,13622639.0,756813.2777777778,417965.0,1.3245833708818542,13.622639,53.10637218202808,20
Loughborough University,8,13500230.0,1687528.75,1410587.5,1.3126810569582248,13.50023,54.41905323898631,21
University of Glasgow,6,12932978.0,2155496.3333333335,1600740.0,1.2575248888839277,12.932978,55.676578127870236,22
University of Portsmouth,2,11756952.0,5878476.0,5878476.0,1.1431752035311336,11.756952,56.81975333140137,23
University of St Andrews,8,10385001.0,1298125.125,918635.0,1.009774951181737,10.385001,57.82952828258311,24
British Geological Survey,4,10313612.0,2578403.0,118814.0,1.002833514778417,10.313612,58.83236179736153,25
University of Surrey,11,10265590.0,933235.4545454546,298792.0,0.9981641447219627,10.26559,59.83052594208349,26
Royal College of Art,6,10043826.0,1673971.0,1178651.0,0.9766011489866839,10.043826,60.80712709107017,27
University of Edinburgh,12,8427919.0,702326.5833333334,695544.0,0.8194800844784352,8.427919,61.62660717554861,28
Swansea University,5,7486692.0,1497338.4,547407.0,0.7279608397546328,7.486692,62.35456801530324,29
University of York,7,6995218.0,999316.8571428572,822615.0,0.6801728680098931,6.995218,63.03474088331313,30
James Hutton Institute,1,6803556.0,6803556.0,6803556.0,0.6615368094583924,6.803556,63.69627769277152,31
FIBERIGHT LIMITED,7,6696714.0,956673.4285714285,331281.0,0.6511481368589233,6.696714,64.34742582963044,32
University of Ulster,1,6632377.0,6632377.0,6632377.0,0.6448923944633107,6.632377,64.99231822409375,33
University of Sussex,3,6233284.0,2077761.3333333333,306680.0,0.6060869947727403,6.233284,65.59840521886649,34
University of Bristol,10,6103112.0,610311.2,250318.5,0.5934298534835647,6.103112,66.19183507235006,35
Newcastle University,10,6049386.0,604938.6,607943.5,0.5882058608207629,6.049386,66.78004093317082,36
Queen Mary University of London,6,5513359.0,918893.1666666666,797416.5,0.536085823686718,5.513359,67.31612675685754,37
IMPERIAL COLLEGE LONDON,10,5065846.0,506584.6,478046.0,0.49257235481673983,5.065846,67.80869911167429,38
RECYCLING TECHNOLOGIES LTD,4,4889843.0,1222460.75,763002.0,0.4754588831153082,4.889843,68.2841579947896,39
ORBITAL MARINE POWER LIMITED,1,4705779.0,4705779.0,4705779.0,0.45756160832310405,4.705779,68.7417196031127,40
University of Stirling,4,4625034.0,1156258.5,554016.5,0.4497104508284471,4.625034,69.19143005394115,41
PLASGRAN LIMITED,1,4423543.0,4423543.0,4423543.0,0.43011867951436067,4.423543,69.62154873345551,42
EUROPEAN METAL RECYCLING LIMITED,3,4280888.0,1426962.6666666667,1035921.0,0.41624776648692513,4.280888,70.03779649994243,43
UK FASHION AND TEXTILE ASSOCIATION LTD,1,4010484.0,4010484.0,4010484.0,0.38995531009723905,4.010484,70.42775181003967,44
MINT BIOMINING LIMITED,1,4002186.0,4002186.0,4002186.0,0.38914846255385355,4.002186,70.81690027259351,45
De Montfort University,6,3761797.0,626966.1666666666,216309.0,0.3657744839919231,3.761797,71.18267475658544,46
POSEIDON PLASTICS LTD,1,3646102.0,3646102.0,3646102.0,0.35452499899168366,3.646102,71.53719975557712,47
University of Leicester,9,3569434.0,396603.77777777775,212917.0,0.34707026442235606,3.569434,71.88427001999948,48
UNIVERSITY OF STRATHCLYDE,5,3486052.0,697210.4,343667.0,0.3389627009296385,3.486052,72.22323272092912,49
ALTILIUM METALS LTD,6,3441649.0,573608.1666666666,522244.5,0.3346452206369238,3.441649,72.55787794156605,50
JOHNSON MATTHEY PLC,3,3086704.0,1028901.3333333334,635565.0,0.3001325065748643,3.086704,72.85801044814092,51
Lancaster University,10,3027662.0,302766.2,147712.0,0.29439161808889575,3.027662,73.15240206622981,52
PRAGMATIC SEMICONDUCTOR LIMITED,5,3020356.0,604071.2,390237.0,0.29368122665096197,3.020356,73.44608329288077,53
PHOTOCENTRIC LIMITED,3,2891078.0,963692.6666666666,1024529.0,0.28111101253746573,2.891078,73.72719430541824,54
Queen's University Belfast,5,2890073.0,578014.6,521352.0,0.2810132923903095,2.890073,74.00820759780855,55
LOUGHBOROUGH UNIVERSITY,2,2742121.0,1371060.5,1371060.5,0.2666273309852754,2.742121,74.27483492879382,56
NCC OPERATIONS LIMITED,4,2740591.0,685147.75,591673.0,0.26647856300005246,2.740591,74.54131349179387,57
QUEEN'S UNIVERSITY BELFAST,2,2724062.0,1362031.0,1362031.0,0.2648713825897585,2.724062,74.80618487438363,58
TECHNOVATIVE SOLUTIONS LTD.,4,2704788.0,676197.0,698258.0,0.26299729491185875,2.704788,75.06918216929549,59
UNILEVER GLOBAL IP LIMITED,1,2674861.0,2674861.0,2674861.0,0.2600873736741029,2.674861,75.32926954296958,60
UNIVERSITY OF CAMBRIDGE,6,2544859.0,424143.1666666667,407264.5,0.24744676216106326,2.544859,75.57671630513065,61
ICONICHEM WIDNES LIMITED,2,2542414.0,1271207.0,1271207.0,0.2472090250866384,2.542414,75.82392533021728,62
ASTON UNIVERSITY,2,2522376.0,1261188.0,1261188.0,0.2452606506501044,2.522376,76.06918598086739,63
BRUNEL UNIVERSITY LONDON,7,2363781.0,337683.0,323148.0,0.22983982802498695,2.363781,76.29902580889238,64
Durham University,4,2359552.0,589888.0,562542.5,0.22942862553511262,2.359552,76.52845443442749,65
JAGUAR LAND ROVER LIMITED,3,2340245.0,780081.6666666666,588352.0,0.22755132913596293,2.340245,76.75600576356345,66
CENTRE FOR PROCESS INNOVATION LIMITED,5,2305077.0,461015.4,482877.0,0.2241318046233356,2.305077,76.98013756818679,67
